"point_id","x","y"
49245,173.99197,-41.275199
49246,173.992093,-41.275405
49247,173.992267,-41.275591
49248,173.992173,-41.275801
49249,173.992012,-41.275995
49250,173.991884,-41.276204
49251,173.991733,-41.276402
49252,173.991451,-41.276466
49253,173.991157,-41.276408
49254,173.990945,-41.276537
49255,173.990982,-41.276764
49256,173.991165,-41.276939
49257,173.991422,-41.277062
49258,173.991668,-41.277197
49259,173.991793,-41.2774
49260,173.99173,-41.277623
49261,173.99169,-41.277848
49262,173.99173,-41.278075
49263,173.991673,-41.2783
49264,173.991644,-41.278527
49265,173.991651,-41.278757
49266,173.991657,-41.278986
49267,173.991663,-41.279216
49268,173.991659,-41.279445
49269,173.991643,-41.279675
49270,173.991635,-41.279904
49271,173.991689,-41.280129
49272,173.991761,-41.280351
49273,173.991807,-41.280578
49274,173.991956,-41.280773
49275,173.992132,-41.280957
49276,173.992087,-41.28118
49298,173.996237,-41.282797
49299,173.996421,-41.282691
49300,173.996582,-41.282593
49301,173.996744,-41.282495
49302,173.996903,-41.282396
49303,173.997044,-41.282281
49304,173.997166,-41.282156
49305,173.997253,-41.282015
49306,173.997329,-41.28187
49307,173.997411,-41.281726
49308,173.997511,-41.28159
49309,173.997624,-41.281459
49310,173.99776,-41.281342
49311,173.997922,-41.281245
49312,173.998106,-41.281175
49313,173.998292,-41.281106
49314,173.998474,-41.281033
49315,173.998645,-41.280945
49316,173.998809,-41.280849
49317,173.998979,-41.280761
49318,173.999169,-41.280702
49319,173.99937,-41.280665
49320,173.999576,-41.280673
49321,173.999775,-41.280714
49322,173.999964,-41.280776
49323,174.000167,-41.280809
49324,174.000373,-41.280812
49325,174.000577,-41.280788
49326,174.000782,-41.280768
49327,174.000988,-41.280779
49328,174.001184,-41.280826
49329,174.001355,-41.280913
49330,174.001542,-41.280955
49331,174.001699,-41.28086
49332,174.001802,-41.280725
49333,174.0019,-41.280587
49334,174.00201,-41.280455
49335,174.002135,-41.28033
49336,174.002261,-41.280207
49337,174.002404,-41.280095
49338,174.002584,-41.280018
49339,174.002785,-41.279989
49340,174.002988,-41.280014
49341,174.003167,-41.280089
49342,174.003297,-41.280208
49343,174.003394,-41.280363
49344,174.003454,-41.280542
49345,174.003486,-41.280725
49346,174.003449,-41.280906
49347,174.003316,-41.28106
49348,174.003176,-41.281208
49349,174.003164,-41.28139
49350,174.003218,-41.281571
49351,174.003201,-41.28175
49352,174.003076,-41.28191
49353,174.002952,-41.282069
49354,174.002892,-41.282247
49355,174.002833,-41.282426
49356,174.002725,-41.282592
49357,174.002602,-41.282751
49358,174.002454,-41.282899
49359,174.002328,-41.283055
49360,174.002368,-41.283231
49361,174.002567,-41.283335
49362,174.002795,-41.283403
49363,174.002994,-41.283508
49364,174.003142,-41.283653
49365,174.003171,-41.283837
49366,174.003124,-41.284017
49367,174.002977,-41.28416
49368,174.002751,-41.28423
49369,174.002519,-41.284289
49370,174.002314,-41.284385
49371,174.002211,-41.284552
49372,174.002092,-41.284711
49373,174.0019,-41.284825
49374,174.00176,-41.284972
49375,174.001705,-41.285152
49376,174.00168,-41.285336
49377,174.001718,-41.285516
49378,174.001869,-41.28566
49379,174.002052,-41.285783
49380,174.002214,-41.285921
49381,174.002243,-41.286099
49382,174.002107,-41.286249
49383,174.001917,-41.286366
49384,174.00172,-41.286475
49385,174.001555,-41.286611
49386,174.001466,-41.286782
49387,174.001377,-41.286954
49388,174.001219,-41.287094
49389,174.000997,-41.287171
49390,174.000779,-41.287252
49391,174.000681,-41.287416
49392,174.000681,-41.287601
49393,174.000656,-41.287783
49394,174.000517,-41.287933
49395,174.000333,-41.288055
49396,174.000146,-41.288174
49397,173.99996,-41.288295
49398,173.999785,-41.288424
49399,173.999636,-41.288571
49400,173.999537,-41.288739
49401,173.999489,-41.288921
49402,173.999473,-41.289105
49403,173.999476,-41.28929
49404,173.999496,-41.289475
48634,173.919584,-41.274944
48635,173.919791,-41.274854
48636,173.920003,-41.274772
48637,173.920228,-41.274715
48638,173.920466,-41.274707
48639,173.920705,-41.274706
48640,173.920944,-41.274705
48641,173.921182,-41.274697
48642,173.921411,-41.274645
48643,173.921634,-41.274582
48644,173.921853,-41.27451
48645,173.922048,-41.274408
48646,173.922224,-41.274286
48647,173.922407,-41.27417
48648,173.922607,-41.274072
48649,173.922807,-41.273973
48650,173.923004,-41.273872
48651,173.923222,-41.273801
48652,173.923459,-41.273797
48653,173.923674,-41.27387
48654,173.923858,-41.273986
48655,173.924038,-41.274104
48656,173.924239,-41.274201
