"stop_id","stop_name","stop_code","stop_lat","stop_lon","zone_id"
81,"North Rd, 118","628",-45.8517842,170.5238606,"5900_2F"
82,"Kenmure Rd, 162","470",-45.8800897,170.4762422,"5900_2D"
83,"Bus Hub Stop J","5009",-45.873462,170.505747,"5900_1"
84,"Musselburgh Rise, 42","613",-45.8981461,170.5137281,"5900_2A"
85,"George St, 888","301",-45.8588519,170.5122886,"5900_1/2E"
86,"Main South Rd, 183","538",-45.9015919,170.4322108,"5900_2C"
87,"Green Island Super Stop (Inbound)","535",-45.9024753,170.42738,"5900_2C"
88,"Princes St, 449","778",-45.8809489,170.4999481,"5900_1"
89,"Main Rd Fairfield, cnr Fairplay St","519",-45.8987906,170.3928864,"5900_3C"
90,"Andersons Bay Rd, cnr Princes St","24",-45.8845481,170.4982581,"5900_1"
91,"Main South Rd, 299 Sunnyvale","525",-45.9013478,170.4183581,"5900_2C"
92,"Main South Rd, cnr Harraway Rd","527",-45.9020981,170.4363222,"5900_2C"
93,"Brighton Rd, cnr Main South Rd","112",-45.9027367,170.4249994,"5900_2C"
94,"Drivers Rd, 34A","224",-45.8599047,170.5024053,"5900_2E"
95,"Portobello Rd, Macandrew Bay","736",-45.8678,170.5974217,"5900_3A"
95,"Portobello Rd, Macandrew Bay","737",-45.8683353,170.5975606,"5900_3A"
96,"Portobello Rd, Luss Rd (Company Bay)","734",-45.8558989,170.5987572,"5900_3A"
96,"Portobello Rd, Luss Rd (Company Bay)","735",-45.8560019,170.5989836,"5900_3A"
97,"Corstorphine Rd, cnr Sidey St","201",-45.9033556,170.4717672,"5900_2B"
98,"Highcliff Rd, 242","412",-45.8871925,170.5430783,"5900_2A"
99,"George St, 607","294",-45.8640089,170.5092244,"5900_1"
100,"Signal Hill Rd, 160","888",-45.8520164,170.5371711,"5900_2F"
101,"Signal Hill Rd, 80","892",-45.8539803,170.5314803,"5900_2F"
102,"Signal Hill Rd, 138","887",-45.8523836,170.5357967,"5900_2F"
103,"Signal Hill Rd, 118","885",-45.8528389,170.5344967,"5900_2F"
104,"George St, 664","295",-45.8630889,170.5099025,"5900_1"
105,"North Rd, 440","641",-45.8435286,170.5410014,"5900_2F"
106,"School Stop -LPHS","3015",-45.8624481,170.5271644,"5900_1"
107,"Bank St, 30","58",-45.8546328,170.5173536,"5900_1/2E"
108,"North Rd, 205","630",-45.8494464,170.5281722,"5900_2F"
109,"Princes St, 138","770",-45.8762564,170.5023244,"5900_1"
110,"Pine Hill Rd, 236","691",-45.8482017,170.5111103,"5900_2F"
111,"Great King St North, Botanic Gardens","355",-45.8553003,170.5184564,"5900_1/2E"
112,"George St, 1081","1035",-45.8550339,170.5142942,"5900_1/2E"
113,"George St, 1076","291",-45.8551917,170.5143369,"5900_1/2E"
